star_id,spectral_type,stellar_radius_sr,stellar_mass_sm,stellar_teff_k,stellar_log_g,stellar_luminosity,stellar_metallicity,stellar_rot_period_d,stellar_noise_ppm,label,planet_radius_re,rp_rs_ratio,orbital_period_d,semi_major_au,eccentricity,inclination_deg,impact_parameter,transit_depth_ppm,transit_duration_hr,n_transits_observed,orbital_velocity_kms,transit_snr,planet_eq_temp_k,flux_variability_index,log_period,log_snr
STR-003256,K,1.1627116750901285,0.7560574308278616,4628.811174627204,4.235766374118107,0.5051451789035308,0.653,17.2,234.77,0,,,,,,,1.7772963801334254,12.230136358151544,0.5514561763677013,0.0,,0.3154193978084748,,0.0521,0.0,0.2742
STR-007701,K,0.9720311714847559,0.6326130201159339,4654.9100320427315,4.238708660462319,0.4120809893525099,-0.332,34.33,195.28,0,,,,,,,2.298807107842979,4.91034243529793,0.47464896417965086,0.0,,0.9748929774610257,,0.0251,0.0,0.6805
STR-001969,A,2.146326338589521,2.4973898480793277,9309.156830422491,4.013525350750836,32.30867958676324,-0.221,26.7,303.31,0,,,,,,,1.8532085143603623,53.555507986911145,0.060227064589932815,0.0,,0.32321465344541245,,0.1766,0.0,0.2801
STR-005655,F,1.2785322343826329,1.6808303728422276,6488.939649602391,4.50053145864848,2.63416538620709,-0.108,45.06,214.63,0,,,,,,,1.8508906543644144,27.351836660859885,,0.0,,2.0110505990454453,,0.1274,0.0,1.1023
STR-001837,G,1.205429133291387,0.8737057577143422,5898.499481401603,4.194102861547587,1.7178681499678337,0.26,23.61,233.13,0,,,,,,,2.7366879698513955,8.913886933747646,0.019928804921391544,0.0,,0.20374745829591348,,0.0382,0.0,0.1854
STR-011613,M,0.48890405328054626,0.27343091377187206,3032.303688564078,4.681439287622926,0.019756587275378306,-0.04,35.57,148.62,1,6.083,0.10933,1.6269,0.019059054854867686,0.063,88.15,0.2451,11305.487654474528,1.7280219828465386,228.0,120.374,1201.183424044151,664.8,76.0698,0.9658,7.0919
STR-000487,G,0.8091248733577088,0.98969097035565,5617.558286279009,4.532253193114638,0.5657795403078965,-0.085,41.81,184.69,1,1.18,0.01336,33.7928,0.20638629476324585,0.1859,82.82,6.785,172.43903305260724,0.0,28.0,65.775,5.402785442225604,495.4,0.9337,3.5494,1.8567
STR-004010,A,2.2264594397575412,1.8154332271476936,8348.924189386735,4.035295445652535,21.319348751752877,0.09,30.8,265.71,0,,,,,,,2.285185040931121,8.128556547359246,0.7078650938313759,0.0,,0.3035646289775169,,0.0306,0.0,0.2651
STR-001486,G,0.711876358489216,0.8797316825393696,5667.1488365429495,4.625688171310884,0.5056189502826111,-0.05,16.12,228.85,0,,,,,,,1.7855591928408887,7.9627722436019335,1.119364925922707,0.0,,1.183037254013923,,0.0348,0.0,0.7807
STR-001406,K,0.880361849135267,0.7820227025732879,4480.598155995691,4.517536469874383,0.3164774618205843,0.121,44.63,173.17,0,,,,,,,1.5565780992930454,12.165008547005437,0.2050450844207954,0.0,,0.3494163304883229,,0.0702,0.0,0.2997
STR-004750,G,0.87400939123471,0.9921231941595587,5446.534403205853,4.518841454334337,0.5945556071844251,-0.412,20.89,251.47,0,,,,,,,1.9031958195466054,13.81574923106648,0.10129838478995815,0.0,,0.9707317083895086,,0.0549,0.0,0.6784
STR-009619,F,1.3320002379058855,1.1657747721992773,6501.510207519918,4.282022111683939,2.5338486904426514,0.101,26.11,227.98,0,,,,,,,2.7578811249779065,2.0193416440286547,0.0087614618109297,0.0,,1.1324119086250626,,0.0089,0.0,0.7573
STR-006399,K,0.6870864575931127,0.7351067831295302,4109.158796683991,4.853431691032638,0.11508203909181977,-0.081,39.7,181.56,1,2.315,0.03252,1.6005,0.024868757205732863,0.0325,89.79,0.0295,950.4797912608207,1.3467162681760276,500.0,165.881,133.098881137961,934.2,5.2351,0.9557,4.8986
STR-003850,G,0.9503584702248278,1.119200746598191,5483.077823145938,4.561817020104545,0.7610988436547961,0.057,21.67,219.4,0,,,17.347921773905256,,,,1.2288051617610138,11295.897959915488,7.560891727629286,0.0,,2.989515902194213,,51.4854,2.9095,1.3837
STR-007167,G,0.8381104167647843,0.9755365951381613,5433.883825125317,4.515970486385427,0.6573660947161036,0.034,21.34,217.41,0,,,,,,,2.86302208377455,7.937825936242857,0.36204684359566314,0.0,,0.5922818837405268,,0.0365,0.0,0.4652
STR-007054,G,1.0548993819988757,0.8369916790991403,5650.429312988721,4.3031566590661745,1.0085027253146477,-0.115,5.71,360.85,0,,,,,,,2.940820257836512,21.124449328751716,0.5938744829573818,0.0,,1.5641282095989848,,0.0585,0.0,0.9416
STR-003475,K,0.8659401845886547,0.8410865764081177,4737.717170588697,4.482982644051136,0.31099718918170843,-0.398,24.85,184.05,1,2.3,0.02516,7.5068,0.06490491120581204,0.0179,89.447,0.1716,616.8033984604028,3.147095160717885,156.0,100.403,44.151790074506955,722.6,3.3513,2.1409,3.81
STR-011356,F,1.4052854941379527,1.6751493569763847,7191.63557667198,4.281657466651768,4.494372232313839,-0.083,23.23,252.95,0,,,,,,,1.9902159355601514,83.45723044912536,0.3943595640126036,0.0,,0.528493921594122,,0.3299,0.0,0.4243
STR-005077,G,0.8940661696689597,1.128037979016058,5530.430410400689,4.592244566789015,0.7840800054013528,-0.092,34.76,196.7,0,,,,,,,2.514145581333005,16.468917338005735,0.5007950630284305,0.0,,0.08409249594236848,,0.0837,0.0,0.0807
STR-001464,M,0.39461600582403494,0.37057258486114325,3244.545590002994,4.678884941443826,0.016868657387876365,-0.314,,148.79,0,,,44.134642771265504,,,,0.5681589743684357,14628.278196665658,8.441832623380053,0.0,,10.324724146923034,,98.3149,3.8097,2.427
STR-004607,F,1.1300044790034285,1.1583754521494571,6702.396335898542,4.411556996945552,2.2804333821281717,0.387,14.94,247.8,0,,,,,,,2.2448050550791705,56.87988448175856,0.08178005154884732,0.0,,0.7741735037598338,,0.2295,0.0,0.5733
STR-002952,K,0.5525809158228062,0.6977167985140973,4872.983184857213,4.893997056529802,0.161419562056928,,12.5,243.53,0,,,,,,,1.166363396807695,3.8457972261869124,0.29579982203267796,0.0,,1.4919307515721107,,0.0158,0.0,0.9131
STR-010024,K,0.9532592236450963,0.7337182373935027,4416.808269694161,4.486729063568507,0.2649169316430779,-0.32,19.04,206.27,0,,,,,,,1.6355480711182766,1.4619143930927874,0.02432008006412058,0.0,,0.7636488854868783,,0.0071,0.0,0.5674
STR-002881,K,0.8604797503671745,0.7522968389641228,4576.536225067247,4.329357695294656,0.30145183569343453,-0.267,17.9,236.53,1,1.645,0.01738,9.1507,0.07820514027880511,0.0126,88.863,0.3756,294.0109538010673,3.291311225182609,96.0,90.751,12.329791997185616,636.2,1.243,2.3175,2.59
STR-005238,A,2.0193684586805087,2.278331781540082,8657.549068422753,4.294610386473642,22.647205310341118,0.523,39.64,273.97,0,,,,,,,2.1954652625934576,6.278761870471174,0.2620343880305095,0.0,,0.9789257708991573,,0.0229,0.0,0.6826
STR-002838,K,0.7570024159627947,0.7966669637957214,4345.03183844969,4.633337922012955,0.1979130128370641,-0.229,21.38,219.61,0,,,,,,,2.1459346218592805,26.256424966594945,0.41236052826385233,0.0,,0.49052147790593736,,0.1196,0.0,0.3991
STR-004320,G,1.0086395014847778,0.9379525117725916,5491.838871160178,4.439379697293767,0.7249879607088893,0.197,6.42,312.78,0,,,,,,,1.9457390111689172,46.58948690830157,0.01797707610486034,0.0,,0.5996428995979218,,0.149,0.0,0.4698
STR-001990,K,0.7598043958535372,0.7658396216878995,4638.852033438417,4.751720926429024,0.2388292606219804,0.108,29.48,188.27,0,,,,,,,2.4036388095626795,20.811581493650195,0.44780770499381367,0.0,,1.392041495761548,,0.1105,0.0,0.8721
STR-009226,G,1.002666548979621,0.9284802989499082,5636.292494704794,4.498469605488283,0.8896592267513409,0.24,31.0,265.79,0,,,,,,,2.4235952335855657,22.53408765976581,0.09286421441881258,0.0,,0.48299899068240326,,0.0848,0.0,0.3941
STR-006874,K,0.8779308368901183,0.7536099615858938,4283.404136437207,4.371750806119735,0.23744144735179756,-0.299,28.0,179.48,1,1.284,0.01331,3.101,0.039920557634854956,0.0061,84.733,0.8584,166.80430494784366,1.3331928676480462,277.0,134.808,17.71595618016124,911.0,0.9294,1.4112,2.9294
STR-001173,G,0.9741415092432716,0.8894607698250733,5554.668890979869,4.3941788189205155,0.8256881468929173,-0.37,22.08,206.8,0,,,,,,,1.7601469429173662,47.40786431024289,0.6039311061001238,0.0,,0.07230091889966463,,0.2292,0.0,0.0698
STR-011176,K,0.8122079942026723,0.8332282359487372,4708.34960431751,4.547054433742243,0.29761033401044795,-0.143,20.38,188.66,0,,,,,,,2.4455702291752814,45.29668443535042,1.3499756430861047,0.0,,0.9186685454390362,,0.2401,0.0,0.6516
STR-003851,F,1.3917139197142983,1.3635945662736026,7098.314334775337,4.273351390524921,4.688729835720142,0.176,26.79,237.82,1,2.016,0.01297,3.6577,0.053057381727737996,0.0048,87.274,0.3711,147.40431048004783,3.7336260843029425,115.0,153.719,6.45910221250109,1614.9,0.6198,1.5385,2.0094
STR-010443,M,0.30330058641790786,0.3886099363473883,3330.496604177394,4.931440511445002,0.011128173239228127,-0.148,32.97,168.86,0,,,,,,,2.006664269933311,12.334200742609163,0.3328235203258186,0.0,,1.2290453530780958,,0.073,0.0,0.8016
STR-002961,G,1.0037184593552013,0.9390821491328878,5322.722204324509,4.455540644081919,0.7036334940185583,-0.011,11.69,258.37,1,2.568,0.02218,16.1998,0.11736663349810016,0.3239,84.166,2.5365,497.5243555369409,0.0,23.0,82.673,8.948385595235411,712.8,1.9256,2.8449,2.2974
STR-006207,G,0.867389382588551,1.110756344414392,5251.642512859983,4.656423576420509,0.5578945105340984,-0.222,39.15,216.48,0,,,,,,,2.4368030141062773,19.53810178424426,0.3550600748573748,0.0,,0.6520354113272826,,0.0903,0.0,0.502
STR-002507,G,1.1052471508523376,1.1328824658285457,5914.898890980449,4.384516627814246,1.433088307057532,-0.061,24.66,210.16,0,,,,,,,2.5864375279071603,4.753857323274684,1.0230363884141322,0.0,,0.5049418562553084,,0.0226,0.0,0.4088
STR-004520,K,0.7893894639215447,0.9304865011389936,4454.612499988121,4.55729881572733,0.24474415597164817,0.003,29.02,203.53,0,,,,,,,1.1087950019977824,19.915451981594476,1.0018138133850047,0.0,,0.11607657334567173,,0.0979,0.0,0.1098
STR-010004,G,0.9351036387506875,0.8932090063844941,5528.52638119831,4.609637547592614,0.7754495500102662,0.26,22.43,206.58,1,1.018,0.01017,39.6637,0.227054684570247,0.0366,89.886,0.102,95.52495069602324,6.011920230071858,17.0,59.88,2.1251469537273646,524.0,0.4624,3.7053,1.1395
STR-010888,K,0.5398029263379529,0.7278667436644622,4531.614177672268,4.808753959236425,0.10619265896888448,0.121,37.07,170.42,0,,,,,,,2.9890983553496646,15.97677484160478,0.5164890211069959,0.0,,0.8637319149154755,,0.0937,0.0,0.6226
STR-010914,K,0.7788076309171561,0.7259509697288093,4384.983117959819,4.604994139377692,0.1916860046606802,0.012,32.82,168.96,1,4.179,0.04983,7.5557,0.06884856973787598,0.0595,85.093,1.6209,2422.7413695217037,0.0,60.0,97.524,113.07983822443535,691.6,14.3391,2.1466,4.7369
STR-000047,G,1.1394220937518031,0.9887087653863393,5503.678707806739,4.305232931666543,1.1098584560432903,0.195,12.81,230.87,1,4.745,0.03726,10.894,0.09434407921350131,0.0149,87.194,0.8739,1339.2839835423738,2.813662816143646,84.0,96.741,46.79141054772226,809.3,5.801,2.476,3.8668
STR-001720,F,1.1353723867131895,0.9739431027409018,6943.178987403746,4.3899691420627525,2.519483378176403,0.212,28.9,252.99,0,,,,,,,2.744535253028222,17.103714245203626,0.2650173799952025,0.0,,0.1441723451383062,,0.0676,0.0,0.1347
STR-008167,K,1.0934113695708496,0.8841796192158881,4372.71456239994,4.447256814642369,0.4065733341057169,-0.027,33.87,202.72,0,,,,,,,1.8053908549301956,15.54155414453885,0.057645017451207314,0.0,,0.5515837510960523,,0.0767,0.0,0.4393
STR-006039,K,0.8758552205576003,0.7941026908732718,4126.142789066351,4.413113440421745,0.16798856031186196,0.494,10.7,224.91,1,1.644,0.01823,19.1082,0.12769107110891179,0.0356,84.761,3.1115,307.2283793436574,0.0,42.0,74.56,10.356708084314105,427.1,1.366,3.0011,2.4298
STR-011536,M,0.36119946002275755,0.34646969205583333,2808.274507107191,4.878831501678868,0.007715521820355949,-0.077,26.66,148.39,0,,,,,,,1.316365574870767,23.682743500558193,0.4266402949015119,0.0,,0.19124754624424087,,0.1596,0.0,0.175
STR-006829,G,0.9427400641957309,0.9268702636595977,5707.642789369864,4.470037450567088,0.8239359860712145,0.021,30.85,249.67,1,4.255,0.04117,5.2546,0.05598705605427576,0.008,89.067,0.2134,1494.0295231515333,2.9486692079157026,163.0,119.477,76.19602361521186,1080.1,5.984,1.8333,4.3463
STR-003271,B,4.903812532170821,5.140377732114207,22322.13371510958,3.6602238435775485,5389.196371020403,0.33,15.46,577.57,0,,,,,,,1.9783615910074954,4.306775719867264,0.15773813453973945,0.0,,0.038607098825896184,,0.0075,0.0,0.0379
STR-010042,G,0.9315738455680932,1.0829010069955924,5588.0677691238,4.453454179910678,0.7065163569049278,0.061,33.96,215.96,0,,,,,,,2.7999111190552908,22.067323489357964,0.5386594008021737,0.0,,0.20722813338711774,,0.1022,0.0,0.1883
STR-006488,G,0.9971253939897882,1.0027334863206812,5498.844983650802,4.3291416777772165,0.7722550650284958,0.215,22.51,200.79,0,,,,,,,2.232379301389132,25.69493325584256,0.5582929302762561,0.0,,0.7742629870233911,,0.128,0.0,0.5734
STR-009993,K,0.8783396382105717,0.7006374392891774,4242.947452805215,4.431957339000633,0.20780959959411846,-0.026,22.93,208.34,0,,,,,,,2.4842037502131333,43.999294674917934,0.6691412979879905,0.0,,0.6669874635208779,,0.2112,0.0,0.511
STR-011511,G,1.1200609203755136,0.7294416267867634,5319.985729828405,4.263790437872182,0.921468028163835,0.136,33.24,228.81,0,,,,,,,2.846331835024481,8.253626860667364,0.052511450998649845,0.0,,0.29216305182956886,,0.0361,0.0,0.2563
STR-000345,K,0.8524895048983034,0.6200415567432748,4424.236690139005,4.2266365820154785,0.2466588043982258,0.057,36.85,163.62,0,,,,,,,2.529897873712165,46.26323070187663,0.2294320052245646,0.0,,1.7179119645197414,,0.2827,0.0,0.9999
STR-007044,M,0.44963854454186414,0.32972062413459424,2843.737857023805,4.786053939952228,0.012007285671720758,-0.574,22.56,172.29,0,,,,,,,1.2352473033543447,27.37975608633519,0.03445601941036012,0.0,,0.15255152547484646,,0.1589,0.0,0.142
STR-003948,F,1.1297273362444313,1.108571580006057,7167.644987361338,4.340706694145415,2.864025891768133,-0.189,24.38,294.38,0,,,,,,,2.102007958846789,46.06778765411119,0.2874973443400452,0.0,,0.7571872272834234,,0.1565,0.0,0.5637
STR-002579,K,0.6824318135256023,0.8385718786819529,4460.99830806282,4.735547523921917,0.1645942609797357,0.281,47.92,157.96,0,,,,,,,2.9836959268702676,56.93312751331418,0.6248581150453193,0.0,,0.19404904775692197,,0.3604,0.0,0.1774
STR-003159,G,1.116221075963389,0.9852484010750651,4990.082942495364,4.427370917921014,0.7821763239587686,-0.186,5.33,360.25,1,9.572,0.07514,31.681,0.20657035163173468,0.177,85.301,2.9489,5194.001879816089,0.0,11.0,67.11,45.965893731187684,551.2,14.4178,3.4868,3.8494
STR-009960,G,0.9165119646010749,0.8259036305043723,5751.1454355881315,4.396049020497323,0.9027212425639708,-0.406,30.71,197.37,0,,,,,,,2.4739645845248806,50.35829660062934,0.21988625358320363,0.0,,0.1236631749383365,,0.2551,0.0,0.1166
STR-011448,A,1.9902900437400581,1.8450713363386189,7815.6340168967545,4.206074233772944,14.06115411668194,-0.056,45.01,251.85,1,3.21,0.01454,27.9391,0.2323648543007922,0.1381,87.513,1.0245,205.28535678718154,0.0,42.0,86.491,5.929891139502,1059.2,0.8151,3.3652,1.9358
STR-008617,F,1.3187742797562447,1.1152238918583184,7176.8966418765785,4.173808783663077,3.4570840968647776,0.458,33.38,244.58,0,,,,,,,2.382953338361326,3.1149024273945316,0.2009531838005797,0.0,,0.05354452106423606,,0.0127,0.0,0.0522
STR-003894,K,0.7985682700662261,0.7527900284573765,4391.201267360277,4.3951983769370155,0.21353830664466272,-0.213,,211.02,0,,,,,,,2.0090541648045206,46.31271672474716,0.32262802314440686,0.0,,0.6140701260981243,,0.2195,0.0,0.4788
STR-010661,A,1.6867845792899305,2.8361587564749047,7801.904397883773,4.589134643096028,8.596628325880234,-0.095,28.87,278.37,0,,,26.9392853016283,,,,1.2236794848432266,940.6008851038963,15.446510647490657,0.0,,2.1232728878416594,,3.379,3.33,1.1389
STR-003934,G,0.9250911283097435,0.8443250968677711,5782.919387299773,4.4524116272604015,0.9964575789284965,0.379,39.56,201.58,1,2.052,0.01915,27.9832,0.17621464315013213,0.1909,87.751,1.4768,360.3238654457088,0.0,49.0,66.828,10.661982699314654,593.3,1.7875,3.3667,2.4563
STR-009049,G,0.9050435692679444,0.9558061273446015,6068.364907305143,4.703277370039021,0.9452254237995116,0.215,11.31,256.35,1,1.759,0.01774,11.9336,0.10523845343324334,0.0011,86.259,1.5878,273.99463803904547,0.0,100.0,93.745,12.004246605169012,773.4,1.0688,2.5598,2.5653
STR-000562,F,1.4388098869168822,1.3572491382101453,6711.899597499132,4.253005515767416,3.517131597819576,0.258,17.83,241.01,1,6.135,0.03948,50.2696,0.3247397781886938,0.0363,89.804,0.1538,1502.391067669991,9.108019958098286,22.0,64.286,29.085576628865553,645.9,6.2337,3.9371,3.404
STR-008508,M,0.49192379934030284,0.33450491223744566,3432.2361163333944,4.563385340185131,0.02891841973758457,0.559,14.27,255.9,0,,,,,,,1.3508683398532457,64.90295139995035,0.015448114898704835,0.0,,1.4790005280146932,,0.2536,0.0,0.9079
STR-001700,M,0.3080029845077106,0.2968780939850243,3021.255979612096,4.8653731725395515,0.006392103761881391,-0.223,38.82,159.88,0,,,,,,,1.517075152583745,0.239458589255254,0.0476882710486536,0.0,,0.1864395269093792,,0.0015,0.0,0.171
STR-001402,A,1.7248588084013516,2.0172629138655997,8894.13487224075,4.3035756746907134,18.48170419185856,0.491,37.07,257.42,0,,,,,,,1.6776269607160206,4.620071012317934,1.7854968158060267,0.0,,0.9503614484606341,,0.0179,0.0,0.668
STR-004522,M,0.3975216273546558,0.2868477251801089,3177.8454446744586,4.527603536815855,0.017520798506938388,-0.357,16.82,229.3,0,,,,,,,2.52827727010174,1.7123321173891324,0.010955083924495453,0.0,,0.6251015662916237,,0.0075,0.0,0.4856
STR-010175,F,1.3121497220831324,1.092415665482239,6984.534628182696,4.331638787355355,3.858679971208874,-0.088,16.12,275.32,0,,,,,,,2.8376175558382393,20.14918655649052,0.5638412496528123,0.0,,0.7373873473676661,,0.0732,0.0,0.5524
STR-001181,G,0.8705133945415252,1.0827903929089906,5649.781406579367,4.597661214748513,0.6236963010597474,0.593,34.29,192.22,0,,,,,,,1.7756583549685843,1.3845902009908733,0.29069528615944923,0.0,,0.33929060122004906,,0.0072,0.0,0.2921
STR-007713,G,0.9934424464526972,0.9693053599395458,5973.080056735224,4.510399142648579,1.1010693684933333,0.157,34.15,235.37,1,10.369,0.09675,46.0258,0.25009267661941254,0.021,87.116,2.7673,8575.363455230945,0.0,30.0,59.388,195.9207650566877,479.7,36.4335,3.8507,5.2828
STR-000198,M,0.46607584583738665,0.3669290778121354,3057.312604267334,4.759003178116751,0.019699858952823147,0.511,13.48,237.68,0,,,,,,,2.9652072410631423,1.0857880718086736,0.9045097904926791,0.0,,0.752143462363911,,0.0046,0.0,0.5608
STR-004915,M,0.3748360032750515,0.3460707303566774,3320.348453036447,4.969050289418518,0.014698320766451627,-0.038,35.13,160.64,0,,,,,,,1.9311100830852497,12.244654338034861,1.168802466468339,0.0,,0.614034515527992,,0.0762,0.0,0.4787
STR-011999,G,1.166769299146912,0.9465227185202346,5795.352225954942,4.204385148486882,1.1653502458007083,-0.066,34.77,193.95,0,,,,,,,1.2536317459464101,2.8454404734236545,0.7190987184875854,0.0,,0.7744231170289588,,0.0147,0.0,0.5735
STR-010327,G,0.9930061943033086,0.980734282979509,5622.962268888537,4.340943863830128,0.9049122104916123,0.272,23.22,210.81,0,,,,,,,2.9373041580553987,40.41299788275692,0.8635435640548791,0.0,,1.759566480551261,,0.1917,0.0,1.0151
STR-009085,F,1.510410803687294,1.3073505157485263,6912.182059849723,4.348991382278733,4.417926329164359,-0.374,22.1,232.86,0,,,,,,,1.2374534591950168,40.416351712914825,0.6722751941931586,0.0,,0.7853801674722464,,0.1736,0.0,0.5796
